catalog_number,scan_name,provisional_id,layer_in_batch,scan_folder,trip_folder,element,side,site,scan_voxelsize_mm,scanned,true_voxelsize_mm,raw_ply,fill_ply,crop_ply,checked,notes,last_mod,scan_metadata,processor,mod_by,morphosource_tiff,morphosource_surface,morphosource_checked,morphosource_media,citation,"Folder Struct Check[0,1]"
UF326308,CAB11-0644,macrocranion<, ,CAB11-0644,201402,M/1, ,v06061,0.003670645759,Y,0.003719998726,X,X,X,WORN, ,3/1/14,201402-11,NSV, ,TRUE,TRUE,TRUE,M10358, ,1
UF283242,UF283242,erinaceomorpha, ,CAB11-0644,201402,M3/, ,v12029,0.003670645759,Y,0.003719998726,X,X,X,X, ,4/11/17,201402-11,NSV, ,FALSE,FALSE,FALSE,, ,1
UF284245,UF284245,erinaceomorpha, ,CAB11-0644,201402,M/3, ,v12029,0.003670645759,Y,0.003719998726,X,BROKEN,:(,:(,entoconid broken; raw file lost in hard drive crash,12/10/17,201402-11,NSV, ,FALSE,FALSE,FALSE,, ,1
UF326329,CAB11-0665,erinaceomorpha, ,CAB11-0665,201402,M/1 or M/2, ,v06061,0.004079926088,Y,0.004130435378,X,BROKEN,:(,:(, ,12/10/17,201402-23,NSV, ,FALSE,FALSE,FALSE,, ,1
UF328396,CAB12-1013,macrocranion<, ,CAB11-0665,201402,dp/4, ,v06061,0.004079926088,Y,0.004130435378,X,X,X,BROKEN,"initially  ID'd, scanned as Macrocranion. Now, based on paraconid, I think it's Wyonycteris; hypoconulid and entoconid sheared off",5/28/15,201402-23,NSV, ,FALSE,FALSE,FALSE,, ,1
UF330172,CAB13-0783,erinaceomorpha, ,CAB11-0665,201402,MX/, ,v06061,0.004079926088,Y,0.004130435378,X,X,X,X,"duplicate in NV17 (UF_NRF) initially mislabelled CAB13-0773, moved here; very worn",5/19/16,201402-23,MMM, ,FALSE,FALSE,FALSE,, ,1
UF283239,UF283239,erinaceomorpha, ,CAB11-0665,201402,M3/, ,v12029,0.004079926088,Y,0.004130435378,X,X,X,X, ,4/11/17,201402-23,NSV, ,FALSE,FALSE,FALSE,, ,1
UF283245,UF283245,erinaceomorpha, ,CAB11-0665,201402,M3/, ,v12029,0.004079926088,Y,0.004130435378,X,X,X,X, ,4/11/17,201402-23,NSV, ,FALSE,FALSE,FALSE,, ,1
UF284246,UF284246,erinaceomorpha, ,CAB11-0665,201402,M/3, ,v12029,0.004079926088,Y,0.004130435378,X,BROKEN,:(,:(,this surface way too worn,2/13/17,201402-23,NSV, ,FALSE,FALSE,FALSE,, ,1
UF284263,UF284263,erinaceomorpha, ,CAB11-0665,201402,M/3, ,v12029,0.004079926088,Y,0.004130435378,X,X,X,X,"surfaces corrupted, remade",2/13/17,201402-23,NSV, ,FALSE,FALSE,FALSE,, ,1
